_id,id,idrevisor,idatividade,correcao,data_ordem,geom,data_entrega
66440de01bb3cc41b4562fa0,1,1,1884,fazer alteração,2023-09-29,0104000020EF7C00000100000001010000009E30CB63ED8C46C07108F1A3697F36C0,
66440de01bb3cc41b4562fa1,2,1,1886,fazer alerta,2023-01-30,0104000020EF7C0000010000000101000000101CED28F58B46C0FB054A32EF8436C0,
66440de01bb3cc41b4562fa2,3,1,1885,fazer alteração,2022-09-23,,2022-10-03
66440de01bb3cc41b4562fa3,4,1,1887,fazer alerta,2024-04-26,,2024-05-06
66440de01bb3cc41b4562fa4,5,1,1888,fazer alteração,2023-07-14,,2023-07-24
66440de01bb3cc41b4562fa5,6,1,1889,fazer alerta,2023-11-17,,2023-11-27
66440de01bb3cc41b4562fa6,7,1,1890,fazer alteração,2023-02-03,,2023-02-13
66440de01bb3cc41b4562fa7,8,1,1891,fazer alteração,2022-09-06,,2022-09-16
66440de01bb3cc41b4562fa8,9,1,1892,fazer alerta,2023-01-19,,2023-01-29
66440de01bb3cc41b4562fa9,10,1,1893,fazer alteração,2022-11-23,,2022-12-03
66440de01bb3cc41b4562faa,11,1,1894,fazer alerta,2023-07-24,,2023-08-03
66440de01bb3cc41b4562fab,12,1,1895,fazer alteração,2023-01-17,,2023-01-27
66440de01bb3cc41b4562fac,13,1,1896,fazer alerta,2023-08-22,,2023-09-01
66440de01bb3cc41b4562fad,14,1,1897,fazer alteração,2023-12-24,,2024-01-03
66440de01bb3cc41b4562fae,15,1,1898,fazer alteração,2022-10-20,,2022-10-30
66440de01bb3cc41b4562faf,16,1,1899,fazer alerta,2023-11-15,,2023-11-25
66440de01bb3cc41b4562fb0,17,1,1900,fazer alteração,2023-07-02,,2023-07-12
66440de01bb3cc41b4562fb1,18,1,1901,fazer alerta,2023-02-19,,2023-03-01
66440de01bb3cc41b4562fb2,19,1,1902,fazer alteração,2023-09-23,,2023-10-03
66440de01bb3cc41b4562fb3,20,1,1903,fazer alerta,2022-11-24,,2022-12-04
66440de01bb3cc41b4562fb4,21,1,1904,fazer alteração,2023-08-08,,2023-08-18
66440de01bb3cc41b4562fb5,22,1,1905,fazer alteração,2024-01-29,,2024-02-08
66440de01bb3cc41b4562fb6,23,1,1906,fazer alerta,2022-09-18,,2022-09-28
66440de01bb3cc41b4562fb7,24,1,1907,fazer alteração,2023-05-22,,2023-06-01
66440de01bb3cc41b4562fb8,25,1,1908,fazer alerta,2023-03-28,,2023-04-07
66440de01bb3cc41b4562fb9,26,1,1909,fazer alteração,2022-09-16,,2022-09-26
66440de01bb3cc41b4562fba,27,1,1910,fazer alerta,2024-04-06,,2024-04-16
66440de01bb3cc41b4562fbb,28,1,1911,fazer alteração,2024-04-06,,2024-04-16
66440de01bb3cc41b4562fbc,29,1,1912,fazer alteração,2022-11-09,,2022-11-19
66440de01bb3cc41b4562fbd,30,1,1913,fazer alerta,2023-02-06,,2023-02-16
66440de01bb3cc41b4562fbe,31,1,1914,fazer alteração,2023-01-02,,2023-01-12
66440de01bb3cc41b4562fbf,32,1,1915,fazer alerta,2023-03-15,,2023-03-25
66440de01bb3cc41b4562fc0,33,1,1916,fazer alteração,2023-09-04,,2023-09-14
66440de01bb3cc41b4562fc1,34,1,1917,fazer alerta,2022-08-25,,2022-09-04
66440de01bb3cc41b4562fc2,35,1,1918,fazer alteração,2023-01-31,,2023-02-10
66440de01bb3cc41b4562fc3,36,1,1919,fazer alteração,2023-02-18,,2023-02-28
66440de01bb3cc41b4562fc4,37,1,1920,fazer alerta,2023-08-04,,2023-08-14
66440de01bb3cc41b4562fc5,38,1,1921,fazer alteração,2023-08-15,,2023-08-25
66440de01bb3cc41b4562fc6,39,1,1922,fazer alerta,2022-09-02,,2022-09-12
66440de01bb3cc41b4562fc7,40,1,1923,fazer alteração,2023-11-29,,2023-12-09
66440de01bb3cc41b4562fc8,41,1,1924,fazer alerta,2023-10-30,,2023-11-09
66440de01bb3cc41b4562fc9,42,1,1925,fazer alteração,2022-12-21,,2022-12-31
66440de01bb3cc41b4562fca,43,2,1926,fazer alteração,2024-02-28,,2024-03-09
66440de01bb3cc41b4562fcb,44,2,1927,fazer alerta,2023-08-01,,2023-08-11
66440de01bb3cc41b4562fcc,45,2,1928,fazer alteração,2022-09-18,,2022-09-28
66440de01bb3cc41b4562fcd,46,2,1929,fazer alerta,2024-01-05,,2024-01-15
66440de01bb3cc41b4562fce,47,2,1930,fazer alteração,2024-04-30,,2024-05-10
66440de01bb3cc41b4562fcf,48,2,1931,fazer alerta,2023-12-08,,2023-12-18
66440de01bb3cc41b4562fd0,49,2,1932,fazer alteração,2023-08-09,,2023-08-19
